"state","temp1992","temp1993","temp1994","temp1995","temp1996","temp1997","temp1998","temp1999","temp2000","temp2001","temp2002","temp2003","temp2004","temp2005","temp2006","temp2007","temp2008","temp2009","temp2010","temp2011"
"NE",61.8812184660646,58.0200127146765,62.4974315923206,61.6937827202306,59.5236377296036,61.7739420485578,63.3650049836587,64.4693301263824,63.7083828454286,63.411145757374,63.7074347075429,63.3697228017019,63.0822696853141,64.170955236415,64.98093632543,62.8428030712273,60.1396695911954,60.0231145266883,62.0507031935159,62.118907979055
"NH",52.8980228385559,54.2335295110109,54.1617868903296,54.6773217706517,53.3573794971794,53.5799014562168,56.8101027988826,56.7601045668903,52.6845977021046,56.3046238400314,55.2805642631348,53.2124221858566,53.8669085749494,54.8786196892026,55.5129199550262,53.8471277079795,54.334545785917,53.497422187607,56.0570734100855,55.4678303080862
"NJ",61.8449475686634,63.35567838087,64.1054296291223,63.7740403256655,62.1016297763713,63.2466562422527,65.927817640661,65.3852474108848,62.6819565358517,64.9990548623483,65.4796427072379,62.0601758676581,62.5810597686154,64.198124351583,65.7919122569672,63.8459199367841,63.9744023001566,62.370925505108,64.7861522808258,63.8794069731253
"NM",66.0746289884255,66.7438806477573,68.913212606664,68.5286502167791,69.1126955052937,66.4604181649508,68.0740756033891,68.8169975490962,69.3215203598561,68.5157102877967,68.773665314085,69.5134238259313,66.8398351127053,68.1629656683297,68.6682405929481,67.8963048384689,67.672907966092,68.6338267467486,67.6198092097248,68.6145619564322
"NV",64.3997023496517,61.262786484391,64.0046783315737,63.5055762007244,64.1774016531128,63.3005424473578,61.2435740662319,64.3349146895169,64.5595831292556,64.5105157186477,64.176126295013,65.089507790892,63.4638047184095,62.764898693689,63.7434544226348,64.9657787526243,63.6302023059825,63.3816730693897,61.8544547368866,62.3351680424421
"NY",55.5540047287084,56.260835355421,56.360434421871,56.7465616773656,55.5772303318807,55.913558156895,59.6393294561716,58.6716973818606,55.762339023975,58.6699545951694,58.1866469200069,55.726647101995,56.349134272025,57.5790868341667,58.6503265134957,57.1872568884897,57.3731771517092,56.2958993749279,58.0627127810101,58.120825379549
"OH",59.6771525823501,60.195480705638,61.2746663154244,60.4809997205451,59.1999408788808,59.6244177461087,63.9159612244196,63.2902080237213,60.6042339020192,62.2816395390154,62.3481225137621,59.7156888293873,60.7235702117528,61.8116065896632,62.2747837694276,62.5703855924656,60.9192860846867,60.4398953329971,61.5682620487652,61.954422035316
"OK",71.7531702118236,70.1584252101329,72.8030960937463,72.1005608083119,72.0497752882801,70.2093233333443,74.1300043584674,73.6369770935243,72.4846691727972,72.8811741158894,71.3720990855518,72.213306317293,71.6076034511998,72.9104987643027,75.1878237071684,70.95829371589,71.8223281453514,71.4641186570136,72.1770101212781,69.2607454306443
"OR",61.4112666152142,57.0919544008841,60.0480338872037,58.8281088583781,58.7705845363951,58.8785220138722,58.3000328525558,58.6213444734223,58.7609178382703,59.3224005383783,59.7282432444157,60.493327056327,59.6984537783507,59.1560742348673,59.4214366960825,59.207242486334,58.0011613337317,58.3791054112921,57.3737386786044,56.5519933077499
"PA",59.1373294316251,60.2833674066726,60.515131909333,60.0871998472953,58.9585537002512,59.8051240273374,63.4163664952138,62.4819161782368,60.4139383615986,61.9706368691578,62.0638800421394,58.7083484597809,60.1472675977037,61.0873657393707,61.9894022350706,60.9313020926477,60.3930647552477,59.5030243675825,61.5035373101468,61.2433591351629
"RI",58.716393442623,59.9616438356164,60.2519452054794,60.3265753424658,58.7824400487739,59.6256438356164,62.0721643835616,62.5334246575342,59.7904918032787,61.7177534246575,61.6248767123288,58.990794520548,58.6663290398126,60.0167123287671,61.6409863013698,60.555397260274,60.7244262295081,59.1300273972603,61.733698630137,61.5698082191781
"SC",72.4725559324024,73.6196388608098,73.5836119631174,73.2163278852993,72.6098114208939,72.7208029315078,75.3990948519549,74.8007595139208,73.490776980547,74.7591669027797,74.2067171970465,72.5686148824836,73.1009580888288,73.6477818278009,75.1064648038287,75.7203103847952,74.0596486910104,72.7254968640935,73.5624519875738,74.8214349881736
"SD",57.9826917997027,54.0788408571466,57.4347989392814,56.0349653652249,53.2606302630893,56.5865079883884,58.8562056112124,60.4295544120841,58.5205185008067,58.4874313198642,58.5228214399925,58.8758675360544,58.78775426931,59.8481525552457,60.8941735857433,59.2249191079665,56.0408651883087,55.0234175910048,56.7326825993194,56.1300365595875
"TN",67.3168483588404,68.1258265425715,67.9904666541091,68.7812590644737,67.3641190460203,67.0135743448644,70.4502970434542,71.1773939121015,69.2187028871027,69.4202950019813,69.0815687246769,67.9786343321689,68.8588798669366,69.6028114750155,70.2358776356849,71.7922007434335,68.8837631784191,67.7920611969334,69.0487397210842,69.7777901832242
"TX",76.6366440955574,76.6451117000351,78.1261269736742,77.9341595078763,78.6589300115999,76.0355374195883,79.6802595897352,79.9431107653115,79.07802449413,77.7146023282871,77.0961730353005,77.9309612221552,76.7391742737707,78.6897221480091,80.3630529004932,76.8346551329583,78.9931467799315,78.6944471008734,77.471388304896,81.0933304746533
"UT",84.0547336571996,89.3188145365908,60.2809158772868,59.2821862724707,59.8146125745077,58.3121576493945,58.124488072336,59.8672328550799,60.0938976447778,60.190722813364,59.5064583512598,60.5646574920825,58.1656469123262,58.9470268286111,58.9965093225022,60.0725440926107,57.8286572254883,57.887174342525,57.4075317141297,56.8890145088386
"VA",65.6065488485443,66.9546244284629,67.1896315661338,66.3621762123851,64.6417071410033,66.15660903693,68.8984716352164,68.267123981807,66.4800117796331,68.004098244303,68.0519635859501,65.433431349286,66.6736036082667,67.2136600097837,68.2657746541534,68.5458765944736,67.2536996250735,66.0127629875065,67.4954218427181,68.2900306338234
"VT",51.9617609713908,52.6137994146584,52.3979569149205,53.3408970547528,51.1022314114425,52.526315256427,55.9689284674531,55.8475395542241,52.655168250718,55.3794914069034,53.2951144592325,51.4671477972577,53.0978721349654,54.7609903050119,55.1212949819208,53.0357703993219,53.918823251075,52.9325302651485,54.859833541315,54.9247623692481
"WA",58.8069134690813,55.2722816225097,58.3716373040495,57.3818786278763,55.7538947281813,56.6016914446724,58.0265875803067,56.6332915128339,56.0280851666573,56.8130503476787,57.1419894493058,58.1690115248683,57.9996303452501,57.1561749477043,57.5220205206979,56.0981372748117,55.1483357806168,55.764205485789,55.797950854639,54.5466600974232
"WI",52.9852233685371,52.1869246837305,53.9197325082773,53.3858324468414,51.265571045649,53.1399245833562,57.8110016161799,56.2993299885623,54.7450560178594,56.1512577121657,55.0161890842986,54.4486517420854,54.0878919863377,55.9552497001363,56.51129422328,55.5712055005932,52.67280935312,52.8889199278207,55.8289663937094,53.3253200147597
"WV",61.9066838390154,62.9119160941645,63.4664051545214,62.0855041333633,61.5432877636177,61.79671619073,65.1650172586939,65.1942796915696,62.8888518109666,64.1341446950161,64.088411930333,61.7058085443105,62.9963899875199,63.6926829807731,64.1465145518486,64.9168955084518,63.0026638844789,62.1374245663349,62.6441559801776,63.6564360435723
"WY",53.4737359847614,49.3183861905195,54.0962613039323,51.6288707647368,51.3828175631538,51.2581304803236,52.0926373045418,53.5652425467366,53.1483104952007,53.8553591423073,52.1357073698502,53.7999244241428,52.6373508877499,53.7479523968988,54.166370462625,54.3216972515458,51.4859498113976,51.7782397796121,52.3948857885526,51.1280262801439
